,1,2,3,pChEMBL.Value,Name
73,-285.49965993517907,1.9392331081137908,-0.6288991555543041,7.4,CHEMBL108646
74,-284.49971956680855,1.1892024180034617,0.35435095275127,5.24,CHEMBL63838
75,-283.5006647883852,-1.0237029492414698,1.1246733068758867,5.16,CHEMBL25794
76,-282.4996428138486,0.5979406073750727,-1.228276728452623,5.85,CHEMBL407952
77,-281.500754674903,-1.0832108691679034,1.264075311079742,5.5,CHEMBL26969
78,-280.500198613267,-1.2285302813030745,-1.0737577024318778,6.19,CHEMBL1627606
79,-279.4996472203336,-0.14698447505636286,-1.0786824522930165,5.3,CHEMBL220493
80,-278.50014487979297,-1.182954139563243,-0.5148697506231578,4.77,CHEMBL1835542
81,-277.5001450184839,-1.1831522831933121,-0.5146317096933958,4.58,CHEMBL1835543
82,-276.49963755751344,-0.7689899123393259,-0.8025957982702089,7.13,CHEMBL1947225
83,-275.49991591612684,1.8538406157484049,-0.4797015971284757,5.2,CHEMBL598628
84,-274.4999352473328,1.8107017072421223,-0.44584325152428395,7.54,CHEMBL609618
85,-273.49975795199487,1.9582726722579646,-0.5244426853003057,8.64,CHEMBL1672977
86,-272.4997580906858,1.958074528627895,-0.5242046443705439,7.26,CHEMBL1672981
87,-271.50006311468,-1.2589255906012562,-1.053457095328961,6.89,CHEMBL1627640
88,-270.49993580209656,1.8099091327218428,-0.44489108780523656,7.46,CHEMBL598199
89,-269.50067661949345,-1.4384046576122778,1.0913521128168637,5.6,CHEMBL228914
90,-268.4996561689651,0.2612632248887151,-0.5547257187891,7.4,CHEMBL229993
91,-267.499621716324,0.6024599400504732,0.16563522320652277,7.66,CHEMBL137392
92,-266.49988685143126,1.9439694266153227,-0.5658150774453273,5.54,CHEMBL1672975
93,-265.4996491620066,-0.14975848587733764,-1.0753498792763494,6.0,CHEMBL366014
94,-264.49984910878106,-1.0933578447436296,-0.9047967014712571,7.36,CHEMBL1945899
95,-263.499849247472,-1.0935559883736994,-0.9045586605414953,6.46,CHEMBL1945895
96,-262.49964957807936,-0.15035291676754656,-1.0746357564870637,10.4,CHEMBL3806018
